,country
0,Spain
1,Italy
2,Italy
3,Portugal
4,France
5,Portugal
6,Portugal
7,Portugal
8,Portugal
9,Portugal
10,Portugal
11,US
12,France
13,Portugal
14,France
15,US
16,US
17,US
18,Austria
19,US
20,Germany
21,Spain
22,Italy
23,US
24,France
25,France
26,France
27,Italy
28,US
29,US
30,US
31,Spain
32,Germany
33,South Africa
34,US
35,Spain
36,US
37,US
38,US
39,US
40,Hungary
41,Italy
42,France
43,France
44,Spain
45,France
46,Italy
47,US
48,Australia
49,Italy
50,Portugal
51,US
52,Canada
53,US
54,US
55,Italy
56,US
57,US
58,France
59,US
60,US
61,Italy
62,US
63,US
64,US
65,US
66,Italy
67,US
68,US
69,US
70,US
71,US
72,Italy
73,Italy
74,Italy
75,US
76,Italy
77,US
78,US
79,US
80,US
81,US
82,Australia
83,US
84,US
85,US
86,Italy
87,US
88,US
89,US
90,US
91,France
92,US
93,US
94,US
95,US
96,US
97,Italy
98,US
99,US
100,US
101,Italy
102,US
103,US
104,US
105,US
106,US
107,US
108,Italy
109,US
110,South Africa
111,US
112,Israel
113,US
114,US
115,US
116,US
117,US
118,France
119,France
120,US
121,France
122,Spain
123,France
124,US
125,Australia
126,US
127,US
128,US
129,US
130,Italy
131,Italy
132,US
133,US
134,South Africa
135,Italy
136,US
137,Chile
138,US
139,US
140,US
141,US
142,Italy
143,US
144,US
145,France
146,South Africa
147,US
148,US
149,Spain
150,US
151,Portugal
152,US
153,US
154,US
155,Italy
156,Israel
157,US
158,US
159,Chile
160,Italy
161,Italy
162,Portugal
163,US
164,US
165,US
166,US
167,US
168,US
169,US
170,US
171,US
172,US
173,Italy
174,US
175,US
176,Chile
177,France
178,US
179,US
180,Portugal
181,US
182,France
183,France
184,Italy
185,Australia
186,South Africa
187,US
188,France
189,US
190,US
191,US
192,US
193,US
194,France
195,Italy
196,US
197,US
198,US
199,US
200,US
201,Chile
202,Chile
203,Italy
204,France
205,US
206,US
207,France
208,US
209,France
210,US
211,US
212,France
213,Italy
214,US
215,US
216,US
217,US
218,US
219,US
220,Spain
221,Italy
222,Italy
223,Italy
224,Chile
225,France
226,Italy
227,Chile
228,US
229,Chile
230,US
231,Italy
232,US
233,US
234,Italy
235,New Zealand
236,Portugal
237,Chile
238,South Africa
239,US
240,US
241,France
242,France
243,Australia
244,France
245,US
246,France
247,Portugal
248,US
249,US
250,Italy
251,US
252,Canada
253,Australia
254,US
255,Chile
256,France
257,US
258,US
259,US
260,US
261,Chile
262,US
263,US
264,US
265,Italy
266,US
267,Australia
268,Spain
269,US
270,US
271,US
272,South Africa
273,US
274,South Africa
275,South Africa
276,US
277,Australia
278,Italy
279,Australia
280,US
281,Chile
282,US
283,US
284,France
285,US
286,US
287,Australia
288,US
289,US
290,Chile
291,US
292,France
293,France
294,US
295,US
296,France
297,Chile
298,US
299,Italy
300,US
301,US
302,US
303,Spain
304,US
305,France
306,Chile
307,US
308,US
309,US
310,Italy
311,US
312,Spain
313,US
314,US
315,US
316,US
317,US
318,Italy
319,Israel
320,US
321,US
322,US
323,Italy
324,Italy
325,US
326,US
327,Lebanon
328,Spain
329,France
330,France
331,US
332,Italy
333,Italy
334,US
335,US
336,Italy
337,Spain
338,US
339,Italy
340,France
341,US
342,US
343,South Africa
344,US
345,South Africa
346,US
347,France
348,US
349,US
350,US
351,Australia
352,US
353,Italy
354,US
355,Spain
356,Australia
357,France
358,US
359,Italy
360,US
361,Spain
362,Australia
363,Italy
364,France
365,US
366,France
367,US
368,France
369,France
370,Italy
371,US
372,US
373,France
374,Italy
375,South Africa
376,Chile
377,Australia
378,US
379,US
380,US
381,Portugal
382,US
383,Spain
384,US
385,US
386,Australia
387,US
388,South Africa
389,Chile
390,US
391,US
392,Chile
393,Australia
394,Portugal
395,New Zealand
396,France
397,Italy
398,New Zealand
399,France
400,US
