wine,cheesename
Bordeaux,Gorgonzola
Chenin Blanc,Camembert
Madeira,blue-vein-cheese
Merlot,Seriously-strong-cheddar
Rioja,cream-havarti
Sauvignon Blanc,Seriously-strong-cheddar
Zinfandel,Muenster
Anti Spumanti,Swiss
Beaujolais,Feta
Bodeaux,cream-havarti
Cabernet,Danablu-danish-blue
Chardonnay,Provolone
chenin blanc,adl-mild-cheddar
Gewurztraimer,Boursin
Gruner Veltliner,le-gruyere-aop
Malbec,Seriously-strong-cheddar
Moscato,Chevre
Pinot Blanc,Edam
Pinot Noir,Muenster
Port,Stilton
Riesling,Gouda
Sauternes,Gorgonzola
Sweet sherry,Brie
Syrah,Camembert
Tinta,Roquefort
Viognier,le-gruyere-aop
